Permit Number,Year,Zipcode,City,Jurisdiction
Q26207,2026,80831,Peyton,El Paso County
Q26272,2026,80924,Colorado Springs,Colorado Springs
Q26284,2026,80132,Monument,El Paso County / Monument
Q26421,2026,80925,Colorado Springs,Colorado Springs
Q26430,2026,80927,Colorado Springs,Colorado Springs
Q26431,2026,80927,Colorado Springs,Colorado Springs
Q26432,2026,80908,Colorado Springs,Colorado Springs
Q26435,2026,80927,Colorado Springs,Colorado Springs
Q26438,2026,80927,Colorado Springs,Colorado Springs
Q26443,2026,80927,Colorado Springs,Colorado Springs
Q26445,2026,80927,Colorado Springs,Colorado Springs
Q26450,2026,80927,Colorado Springs,Colorado Springs
Q26459,2026,80927,Colorado Springs,Colorado Springs
Q26462,2026,80927,Colorado Springs,Colorado Springs
Q26474,2026,80908,Colorado Springs,Colorado Springs
Q26487,2026,80927,Colorado Springs,Colorado Springs
Q26488,2026,80927,Colorado Springs,Colorado Springs
Q26490,2026,80927,Colorado Springs,Colorado Springs
Q26493,2026,80927,Colorado Springs,Colorado Springs
Q26494,2026,80927,Colorado Springs,Colorado Springs
Q26496,2026,80927,Colorado Springs,Colorado Springs
Q26497,2026,80927,Colorado Springs,Colorado Springs
Q26539,2026,80808,Calhan,El Paso County
Q26568,2026,80924,Colorado Springs,Colorado Springs
Q26698,2026,80132,Monument,El Paso County / Monument
Q26699,2026,80132,Monument,El Paso County / Monument
Q26711,2026,80908,Colorado Springs,Colorado Springs
Q26714,2026,80908,Colorado Springs,Colorado Springs
Q26716,2026,80908,Colorado Springs,Colorado Springs
Q26717,2026,80908,Colorado Springs,Colorado Springs
Q26720,2026,80132,Monument,El Paso County / Monument
Q26721,2026,80132,Monument,El Paso County / Monument
Q26780,2026,80924,Colorado Springs,Colorado Springs
Q26786,2026,80924,Colorado Springs,Colorado Springs
Q26787,2026,80921,Colorado Springs,Colorado Springs
Q26853,2026,80908,Colorado Springs,Colorado Springs
Q26855,2026,80908,Colorado Springs,Colorado Springs
Q26856,2026,80908,Colorado Springs,Colorado Springs
Q26857,2026,80908,Colorado Springs,Colorado Springs
Q26909,2026,80831,Peyton,El Paso County
Q27022,2026,80908,Colorado Springs,Colorado Springs
Q27023,2026,80908,Colorado Springs,Colorado Springs
Q27024,2026,80908,Colorado Springs,Colorado Springs
Q27116,2026,80829,Manitou Springs,Manitou Springs
Q27400,2026,80132,Monument,El Paso County / Monument
Q27447,2026,80831,Peyton,El Paso County
Q27448,2026,80831,Peyton,El Paso County
Q27492,2026,80924,Colorado Springs,Colorado Springs
Q27493,2026,80924,Colorado Springs,Colorado Springs
Q27494,2026,80924,Colorado Springs,Colorado Springs
Q27495,2026,80924,Colorado Springs,Colorado Springs
Q27496,2026,80924,Colorado Springs,Colorado Springs
Q27500,2026,80925,Colorado Springs,Colorado Springs
Q27504,2026,80925,Colorado Springs,Colorado Springs
Q27505,2026,80925,Colorado Springs,Colorado Springs
Q27506,2026,80925,Colorado Springs,Colorado Springs
Q27507,2026,80925,Colorado Springs,Colorado Springs
Q27508,2026,80925,Colorado Springs,Colorado Springs
Q27509,2026,80925,Colorado Springs,Colorado Springs
